,address,Lat_,long_
0,"18810 Densmore Ave N, Shoreline, WA 98133",47.7347077,-122.3381707
1,"14013 Ashworth Ave N, Seattle, WA 98133",47.7308168,-122.33996846078549
2,"1701 N 204th Pl, Shoreline, WA 98133",47.7772384,-122.3378493
3,"519 N 104th St, Seattle, WA 98133",47.70415815,-122.35190758691807
4,"14017 Roslyn Pl N, Seattle, WA 98133",47.7310416,-122.3409453253976
5,"18305 Dayton Ave N, Shoreline, WA 98133",47.7369348,-122.3530536
6,"13714 Ashworth Ave N, Seattle, WA 98133",47.72912545,-122.3393256977714
7,"1718 N 175th St, Shoreline, WA 98133",47.7559036,-122.3448273
8,"605 N 178th St, Shoreline, WA 98133",47.7575231,-122.3474386
9,"11304 Corliss Ave N, Seattle, WA 98133",47.7110657,-122.3310471
10,"10312 Linden Ave N, Seattle, WA 98133",47.704058700000004,-122.34708619212692
11,"19293 Stone Ave N, Shoreline, WA 98133",47.7325215,-122.3423903
12,"14700 Burke Ave N, Shoreline, WA 98133",47.7358102,-122.3355007
13,"13540 Burke Ave N, Seattle, WA 98133",47.7280677,-122.33523409712937
14,"10037 Interlake Ave N, Seattle, WA 98133",47.7025484,-122.3409884
15,"353 N 105th St, Seattle, WA 98133",47.7048943,-122.35296594719877
16,"14836 Densmore Ave N, Shoreline, WA 98133",47.7347077,-122.3381707
17,"16501-16515 Carlyle Hall Rd N, Shoreline, WA 98133",,
18,"1909 N 195th St, Shoreline, WA 98133",47.7706471,-122.34665
19,"18218 Evanston Ave N, Shoreline, WA 98133",47.7341985,-122.3517778
20,"2145 N 178th St, Shoreline, WA 98133",47.7575231,-122.3474386
21,"1610 N 185th St, Shoreline, WA 98133",47.7631651,-122.3459014
22,"12033 Dayton Ave N, Seattle, WA 98133",47.716965349999995,-122.35318050108967
23,"12215 Dayton Ave N, Seattle, WA 98133",47.71836395,-122.35322129181084
24,"16221 Bagley Pl N, Shoreline, WA 98133",47.740401,-122.3333817
25,"15024 Wallingford Ave N, Shoreline, WA 98133",47.7402852,-122.337161
26,"11053 Greenwood Ave N, Seattle, WA 98133",47.710206,-122.3558998
27,"556 N 167th St, Shoreline, WA 98133",47.7507022,-122.3745907
28,"11726 Phinney Ave N, Seattle, WA 98133",47.71498945,-122.35370285751966
29,"14556 Stone Ave N, Shoreline, WA 98133",47.7325215,-122.3423903
30,"11207 Evanston Ave N, Seattle, WA 98133",47.71083845,-122.35181379488901
31,"11502 Corliss Ave N, Seattle, WA 98133",47.7124517,-122.33110335427426
32,"543 N 138th St, Seattle, WA 98133",47.72942085,-122.35194650276654
33,"18318 Meridian Ave N, Shoreline, WA 98133",47.745072,-122.3345884
34,"19584-19766 Meridian Ave N, Shoreline, WA 98133",,
35,"2317 N 147th St, Shoreline, WA 98133",47.7358102,-122.3355007
36,"15345 Stone Ave N, Shoreline, WA 98133",47.74121695,-122.34289675996163
37,"16708 N Park Ave N, Shoreline, WA 98133",47.7367764,-122.3489932
38,"2150 N 128th St, Seattle, WA 98133",47.72233005,-122.33195920740432
39,"10515 Ashworth Ave N, Seattle, WA 98133",47.705546549999994,-122.33961998337888
40,"723 N 105th St, Seattle, WA 98133",47.70488505,-122.34904799390475
41,"11221 Palatine Ave N, Seattle, WA 98133",47.7112148,-122.35716537449582
42,"12216 Greenwood Ave N, Seattle, WA 98133",47.7183343,-122.3550473
43,"12575 Corliss Ave N, Seattle, WA 98133",47.7210904,-122.33099383991421
44,"18202 Dayton Ave N, Shoreline, WA 98133",47.7369348,-122.3530536
45,"720 N 193rd Pl, Shoreline, WA 98133",47.7693653,-122.3502385
46,"16723 Corliss Pl N, Shoreline, WA 98133",47.7403945,-122.3323318
47,"10711 Ashworth Ave N, Seattle, WA 98133",47.70724055,-122.33961131634223
48,"13715 Wallingford Ave N, Seattle, WA 98133",47.7291217,-122.33725040219538
49,"2109 N 161st Pl, Shoreline, WA 98133",47.7458701,-122.3480497
50,"1633 N 192nd St, Shoreline, WA 98133",47.7677993,-122.3458347
51,"2320 N 161st St, Shoreline, WA 98133",47.7457568,-122.3424178
52,"136 N 101st St, Seattle, WA 98133",47.702687299999994,-122.35697765036804
53,"15043 Densmore Ave N, Shoreline, WA 98133",47.7347077,-122.3381707
54,"16135 Densmore Ave N, Shoreline, WA 98133",47.7347077,-122.3381707
55,"10217 Aurora Ave N, Seattle, WA 98133",47.7033494,-122.3449799
56,"10734 Whitman Ave N, Seattle, WA 98133",47.7076057,-122.34579984999999
57,"633 N 138th St, Seattle, WA 98133",47.7288052,-122.35022124916779
58,"12220 Phinney Ave N, Seattle, WA 98133",47.71848825,-122.35390763234099
59,"10559 Evanston Ave N, Seattle, WA 98133",47.7066986,-122.351824
60,"10546 Stone Ave N, Seattle, WA 98133",47.7064281,-122.34172990629386
61,"10401 Holman Rd NW, Seattle, WA 98133",47.704614,-122.3567823
62,"2126 N 130th St, Seattle, WA 98133",47.7234263,-122.33306120772147
63,"10537 Interlake Ave N, Seattle, WA 98133",47.70618895,-122.34094997914795
64,"1559 N 130th St, Seattle, WA 98133",47.72298615,-122.33690149645898
65,"12200 Densmore Ave N, Seattle, WA 98133",47.7174244,-122.33712059964958
66,"12231 Densmore Ave N, Seattle, WA 98133",47.71808145,-122.33815400971216
67,"17812-17818 Stone Ave N, Shoreline, WA 98133",,
68,"16341 Interlake Ave N, Shoreline, WA 98133",47.7341205,-122.3410241
69,"1301 N 169th St, Shoreline, WA 98133",47.7514919,-122.3419925
70,"2350 N 178th St, Shoreline, WA 98133",47.7575231,-122.3474386
71,"353 N 105th St, Seattle, WA 98133",47.7048943,-122.35296594719877
72,"608 N 202nd St, Shoreline, WA 98133",47.7754087,-122.340175
73,"20015 Burke Ave N, Shoreline, WA 98133",47.7358102,-122.3355007
74,"18032 Burke Ave N, Shoreline, WA 98133",47.7358102,-122.3355007
75,"10720 Stone Ave N, Seattle, WA 98133",47.70756365,-122.34176135271241
76,"18529 Ashworth Ave N, Shoreline, WA 98133",47.7654652,-122.3404803
77,"11707 Greenwood Ave N, Seattle, WA 98133",47.7144603,-122.3560675
78,"15320 Corliss Pl N, Shoreline, WA 98133",47.7403945,-122.3323318
79,"2148 N 115th St, Seattle, WA 98133",47.7125045,-122.33192620081485
80,"18010 N Park Pl N, Shoreline, WA 98133",47.7563181,-122.3496235
81,"2357 N 187th St, Shoreline, WA 98133",47.7647619,-122.3342534
82,"17512 Corliss Ave N, Shoreline, WA 98133",47.7304604,-122.3315657
83,"1610 N 185th St, Shoreline, WA 98133",47.7631651,-122.3459014
84,"10740 Stone Ave N, Seattle, WA 98133",47.7080748,-122.3415214
85,"14301 Wallingford Ave N, Seattle, WA 98133",47.732530499999996,-122.33718818085612
86,"12226 Phinney Ave N, Seattle, WA 98133",47.718621999999996,-122.35393922823847
87,"16016 Burke Ave N, Shoreline, WA 98133",47.7358102,-122.3355007
88,"14020 Meridian Ave N, Seattle, WA 98133",47.73119935,-122.3339349972857
89,"108 N 183rd St, Shoreline, WA 98133",47.7614395,-122.34038
90,"10304 Interlake Ave N, Seattle, WA 98133",47.7034875,-122.3402770453398
